ProductType,CostPerSquareFoot,LaborCostPerSquareFoot
Alloyed Midogen,2.25,2.1
Anti Hydragyil,1.75,2.1
Arcanil,3.5,4.15
Axonil,5.15,4.75
Cadmogen,5.775,5.775
Chemonium,500,6.775
Common Electroril,30000,7.775
Common Rhododium,-5,8.775
Crystalized Phagine,100.3,2.1
Crystalized Turbonium,30,4.15
Magisium,4556,4.75
Morphic Ultran,78695.23,5.775
Non-flammable Etheranium,900.222,6.775
Opaque Argentus,26976.22543,14.775
Oxynium,29638.96921,15.775
Stableized Eternium,32301.713,16.775
Synine,34964.45679,17.775
Titanil,37627.20057,18.775
Ultrasite,40289.94436,19.775
Unstable Chromasite,42952.68814,20.775
Aeranium,5.15,2.1
Alloyed Hemisium,5.775,4.15
Argonite,500,4.75
Beryllanium,30000,5.775
Conductive Dextronite,-5,6.775
Everil,100.3,14.775
Exotic Phazesite,30,15.775
Helus,4556,16.775
Hypil,4440.4375,17.775
Hyposium,4449.639583,18.775
Introgen,4458.841667,2.1
Non-refractive Xenon,4468.04375,4.15
Plutodium,4477.245833,4.75
Polygen,4486.447917,5.775
Selenesite,4495.65,6.775
Solidified Infernine,4504.852083,5
Thaumon,4514.054167,900
Transparent Calcanium,4523.25625,100
Transparent Hypomite,4532.458333,1
Unstable Xenonite,4541.660417,2
